Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2019-01-02,Oman,Thailand,2,0,Friendly,the United Arab Emirates,+9,-9,1534,1372
2019-01-05,United Arab Emirates,Bahrain,1,1,Asian Cup,the United Arab Emirates,-10,+10,1472,1441
2019-01-06,India,Thailand,4,1,Asian Cup,the United Arab Emirates,+62,-62,1280,1310
2019-01-06,Jordan,Australia,1,0,Asian Cup,the United Arab Emirates,+42,-42,1488,1693
2019-01-06,Palestine,Syria,0,0,Asian Cup,the United Arab Emirates,+14,-14,1390,1584
2019-01-07,China,Kyrgyzstan,2,1,Asian Cup,the United Arab Emirates,+11,-11,1526,1277
2019-01-07,Iran,Yemen,5,0,Asian Cup,the United Arab Emirates,+3,-3,1826,1185
2019-01-07,South Korea,Philippines,1,0,Asian Cup,the United Arab Emirates,+1,-1,1779,1170
2019-01-08,Finland,Sweden,1,0,Friendly,Qatar,+16,-16,1637,1835
2019-01-08,Iraq,Vietnam,3,2,Asian Cup,the United Arab Emirates,+10,-10,1590,1325
2019-01-08,Saudi Arabia,North Korea,4,0,Asian Cup,the United Arab Emirates,+28,-28,1609,1401
2019-01-09,Japan,Turkmenistan,3,2,Asian Cup,the United Arab Emirates,+3,-3,1734,1243
2019-01-09,Qatar,Lebanon,2,0,Asian Cup,the United Arab Emirates,+29,-29,1557,1422
2019-01-09,Uzbekistan,Oman,2,1,Asian Cup,the United Arab Emirates,+21,-21,1611,1513
2019-01-10,Jordan,Syria,2,0,Asian Cup,the United Arab Emirates,+48,-48,1536,1536
2019-01-10,Thailand,Bahrain,1,0,Asian Cup,the United Arab Emirates,+34,-34,1344,1407
2019-01-10,United Arab Emirates,India,2,0,Asian Cup,the United Arab Emirates,+12,-12,1484,1268
2019-01-11,Australia,Palestine,3,0,Asian Cup,the United Arab Emirates,+13,-13,1706,1377
2019-01-11,China,Philippines,3,0,Asian Cup,the United Arab Emirates,+10,-10,1536,1160
2019-01-11,Estonia,Finland,2,1,Friendly,Qatar,+15,-15,1483,1622
2019-01-11,Iceland,Sweden,2,2,Friendly,Qatar,+4,-4,1672,1831
2019-01-11,South Korea,Kyrgyzstan,1,0,Asian Cup,the United Arab Emirates,+3,-3,1782,1274
2019-01-12,Iran,Vietnam,2,0,Asian Cup,the United Arab Emirates,+4,-4,1830,1321
2019-01-12,Iraq,Yemen,3,0,Asian Cup,the United Arab Emirates,+8,-8,1598,1177
2019-01-12,Saudi Arabia,Lebanon,2,0,Asian Cup,the United Arab Emirates,+19,-19,1628,1403
2019-01-13,Japan,Oman,1,0,Asian Cup,the United Arab Emirates,+11,-11,1745,1502
2019-01-13,Qatar,North Korea,6,0,Asian Cup,the United Arab Emirates,+31,-31,1588,1370
2019-01-13,Uzbekistan,Turkmenistan,4,0,Asian Cup,the United Arab Emirates,+10,-10,1621,1233
2019-01-14,Bahrain,India,1,0,Asian Cup,the United Arab Emirates,+15,-15,1422,1253
2019-01-14,United Arab Emirates,Thailand,1,1,Asian Cup,the United Arab Emirates,-15,+15,1469,1359
2019-01-15,Australia,Syria,3,2,Asian Cup,the United Arab Emirates,+14,-14,1720,1522
2019-01-15,Estonia,Iceland,0,0,Friendly,Qatar,+5,-5,1488,1667
2019-01-15,Jordan,Palestine,0,0,Asian Cup,the United Arab Emirates,-11,+11,1525,1388
2019-01-16,Iran,Iraq,0,0,Asian Cup,the United Arab Emirates,-15,+15,1815,1613
2019-01-16,Kyrgyzstan,Philippines,3,1,Asian Cup,the United Arab Emirates,+26,-26,1300,1134
2019-01-16,South Korea,China,2,0,Asian Cup,the United Arab Emirates,+15,-15,1797,1521
2019-01-16,Vietnam,Yemen,2,0,Asian Cup,the United Arab Emirates,+23,-23,1344,1154
2019-01-17,Japan,Uzbekistan,2,1,Asian Cup,the United Arab Emirates,+16,-16,1761,1605
2019-01-17,Lebanon,North Korea,4,1,Asian Cup,the United Arab Emirates,+40,-40,1443,1330
2019-01-17,Oman,Turkmenistan,3,1,Asian Cup,the United Arab Emirates,+13,-13,1515,1220
2019-01-17,Qatar,Saudi Arabia,2,0,Asian Cup,the United Arab Emirates,+42,-42,1630,1586
2019-01-20,China,Thailand,2,1,Asian Cup,the United Arab Emirates,+14,-14,1535,1345
