Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2024-01-01,Japan,Thailand,5,0,Friendly,Japan,+1,-1,1905,1381
2024-01-01,Hong Kong,China,2,1,Friendly,the United Arab Emirates,+18,-18,1084,1431
2024-01-02,Libya,Indonesia,4,0,Friendly,Turkey,+15,-15,1375,1266
2024-01-04,Tajikistan,Hong Kong,2,1,Friendly,the United Arab Emirates,+3,-3,1377,1081
2024-01-04,Saudi Arabia,Lebanon,1,0,Friendly,Qatar,+3,-3,1588,1309
2024-01-05,Togo,Algeria,0,3,Friendly,Togo,-7,+7,1384,1733
2024-01-05,Qatar,Jordan,1,2,Friendly,Qatar,-14,+14,1521,1517
2024-01-05,Libya,Indonesia,2,1,Friendly,Turkey,+7,-7,1382,1259
2024-01-05,Kyrgyzstan,Syria,1,1,Friendly,the United Arab Emirates,+5,-5,1254,1420
2024-01-05,Iran,Burkina Faso,2,1,Friendly,Iran,+2,-2,1828,1563
2024-01-06,United Arab Emirates,Oman,0,1,Friendly,the United Arab Emirates,-12,+12,1517,1566
2024-01-06,Tunisia,Mauritania,0,0,Friendly,Tunisia,-9,+9,1731,1401
2024-01-06,South Korea,Iraq,1,0,Friendly,the United Arab Emirates,+5,-5,1803,1615
2024-01-06,Mozambique,Lesotho,2,0,Friendly,South Africa,+10,-10,1367,1234
2024-01-06,Mali,Guinea-Bissau,6,2,Friendly,Mali,+6,-6,1622,1410
2024-01-06,Ivory Coast,Sierra Leone,5,1,Friendly,Ivory Coast,+3,-3,1647,1312
2024-01-06,Australia,Bahrain,2,0,Friendly,the United Arab Emirates,+4,-4,1787,1444
2024-01-06,Angola,Democratic Republic of Congo,0,0,Friendly,the United Arab Emirates,+3,-3,1389,1497
2024-01-07,Uzbekistan,Palestine,1,0,Friendly,Qatar,+4,-4,1646,1403
2024-01-07,Egypt,Tanzania,2,0,Friendly,Egypt,+2,-2,1688,1349
2024-01-08,Senegal,Niger,1,0,Friendly,Senegal,+1,-1,1732,1239
2024-01-08,Malaysia,Syria,2,2,Friendly,Qatar,+3,-3,1303,1417
2024-01-08,Guinea,Nigeria,2,0,Friendly,the United Arab Emirates,+22,-22,1449,1568
2024-01-08,Ghana,Namibia,0,0,Friendly,Ghana,-7,+7,1544,1388
2024-01-08,Botswana,Mozambique,1,1,Friendly,South Africa,+1,-1,1348,1366
2024-01-09,Palestine,Saudi Arabia,0,0,Friendly,Qatar,+5,-5,1408,1583
2024-01-09,Kyrgyzstan,Vietnam,2,1,Friendly,Qatar,+14,-14,1268,1378
2024-01-09,Japan,Jordan,6,1,Friendly,Qatar,+4,-4,1909,1513
2024-01-09,Iran,Indonesia,5,0,Friendly,Qatar,+1,-1,1829,1258
2024-01-09,Equatorial Guinea,Djibouti,1,1,Friendly,Equatorial Guinea,-10,+10,1506,924
2024-01-09,Cameroon,Zambia,1,1,Friendly,Saudi Arabia,-4,+4,1616,1493
2024-01-09,Algeria,Burundi,4,0,Friendly,Togo,+3,-3,1736,1287
2024-01-10,Tunisia,Cape Verde,2,0,Friendly,Tunisia,+4,-4,1735,1477
2024-01-10,South Africa,Lesotho,0,0,Friendly,South Africa,-8,+8,1481,1242
2024-01-10,Saudi Arabia,Hong Kong,2,0,Friendly,Qatar,+2,-2,1585,1079
2024-01-10,Burkina Faso,Democratic Republic of Congo,2,1,Friendly,the United Arab Emirates,+8,-8,1571,1489
2024-01-10,Angola,Bahrain,3,0,Friendly,the United Arab Emirates,+20,-20,1409,1424
2024-01-11,Morocco,Sierra Leone,3,1,Friendly,Ivory Coast,+1,-1,1848,1311
2024-01-12,Sweden,Estonia,2,1,Friendly,Cyprus,+3,-3,1695,1363
2024-01-12,Libya,Kuwait,3,1,Friendly,Egypt,+15,-15,1397,1362
2024-01-12,Qatar,Lebanon,3,0,Asian Cup,Qatar,+12,-12,1533,1297
2024-01-13,Syria,Uzbekistan,0,0,Asian Cup,Qatar,+14,-14,1431,1632
2024-01-13,China,Tajikistan,0,0,Asian Cup,Qatar,-4,+4,1427,1381
2024-01-13,Australia,India,2,0,Asian Cup,Qatar,+3,-3,1790,1257
2024-01-13,Ivory Coast,Guinea-Bissau,2,0,African Nations Cup,Ivory Coast,+9,-9,1656,1401
2024-01-13,Iceland,Guatemala,1,0,Friendly,the United States,+10,-10,1488,1485
2024-01-14,United Arab Emirates,Hong Kong,3,1,Asian Cup,Qatar,+6,-6,1523,1073
2024-01-14,Japan,Vietnam,4,2,Asian Cup,Qatar,+3,-3,1912,1375
2024-01-14,Iran,Palestine,4,1,Asian Cup,Qatar,+7,-7,1836,1401
2024-01-14,Equatorial Guinea,Nigeria,1,1,African Nations Cup,Ivory Coast,+4,-4,1510,1564
2024-01-14,Egypt,Mozambique,2,2,African Nations Cup,Ivory Coast,-18,+18,1670,1384
2024-01-14,Cape Verde,Ghana,2,1,African Nations Cup,Ivory Coast,+30,-30,1507,1514
