Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2022-01-01,Indonesia,Thailand,2,2,Southeast Asian Championship,Singapore,+10,-10,1215,1380
2022-01-02,Sudan,Zimbabwe,0,0,Friendly,Cameroon,0,0,1311,1315
2022-01-02,Burkina Faso,Gabon,3,0,Friendly,the United Arab Emirates,+11,-11,1574,1405
2022-01-03,Rwanda,Guinea,3,0,Friendly,Rwanda,+20,-20,1283,1388
2022-01-04,Gabon,Mauritania,1,1,Friendly,the United Arab Emirates,-1,+1,1404,1354
2022-01-05,Algeria,Ghana,3,0,Friendly,Qatar,+9,-9,1810,1595
2022-01-06,Rwanda,Guinea,0,2,Friendly,Rwanda,-15,+15,1268,1403
2022-01-09,Cape Verde,Ethiopia,1,0,African Nations Cup,Cameroon,+17,-17,1488,1333
2022-01-09,Cameroon,Burkina Faso,2,1,African Nations Cup,Cameroon,+16,-16,1625,1558
2022-01-10,Senegal,Zimbabwe,1,0,African Nations Cup,Cameroon,+5,-5,1710,1310
2022-01-10,Morocco,Ghana,1,0,African Nations Cup,Cameroon,+14,-14,1780,1581
2022-01-10,Guinea,Malawi,1,0,African Nations Cup,Cameroon,+17,-17,1420,1267
2022-01-10,Gabon,Comoros,1,0,African Nations Cup,Cameroon,+14,-14,1418,1230
2022-01-11,Nigeria,Egypt,1,0,African Nations Cup,Cameroon,+26,-26,1672,1635
2022-01-11,Guinea-Bissau,Sudan,0,0,African Nations Cup,Cameroon,-6,+6,1385,1317
2022-01-11,Algeria,Sierra Leone,0,0,African Nations Cup,Cameroon,-22,+22,1788,1360
2022-01-12,Iceland,Uganda,1,1,Friendly,Turkey,-2,+2,1543,1464
2022-01-12,Mali,Tunisia,1,0,African Nations Cup,Cameroon,+27,-27,1646,1613
2022-01-12,Ivory Coast,Equatorial Guinea,1,0,African Nations Cup,Cameroon,+11,-11,1659,1418
2022-01-12,Gambia,Mauritania,1,0,African Nations Cup,Cameroon,+25,-25,1379,1329
2022-01-13,Cameroon,Ethiopia,4,1,African Nations Cup,Cameroon,+8,-8,1633,1325
2022-01-13,Burkina Faso,Cape Verde,1,0,African Nations Cup,Cameroon,+20,-20,1578,1468
2022-01-14,Morocco,Comoros,2,0,African Nations Cup,Cameroon,+3,-3,1783,1227
2022-01-14,Malawi,Zimbabwe,2,1,African Nations Cup,Cameroon,+28,-28,1295,1282
2022-01-14,Guinea,Senegal,0,0,African Nations Cup,Cameroon,+17,-17,1437,1693
2022-01-14,Gabon,Ghana,1,1,African Nations Cup,Cameroon,+11,-11,1429,1570
2022-01-15,South Korea,Iceland,5,1,Friendly,Turkey,+7,-7,1794,1536
2022-01-15,Nigeria,Sudan,3,1,African Nations Cup,Cameroon,+9,-9,1681,1308
2022-01-15,Egypt,Guinea-Bissau,1,0,African Nations Cup,Cameroon,+10,-10,1645,1375
2022-01-16,Tunisia,Mauritania,4,0,African Nations Cup,Cameroon,+15,-15,1628,1314
2022-01-16,Ivory Coast,Sierra Leone,2,2,African Nations Cup,Cameroon,-17,+17,1642,1377
2022-01-16,Gambia,Mali,1,1,African Nations Cup,Cameroon,+16,-16,1395,1630
2022-01-16,Equatorial Guinea,Algeria,1,0,African Nations Cup,Cameroon,+45,-45,1463,1743
2022-01-16,Peru,Panama,1,1,Friendly,Peru,-7,+7,1828,1635
2022-01-16,Colombia,Honduras,2,1,Friendly,the United States,+2,-2,1906,1494
2022-01-17,Cameroon,Cape Verde,1,1,African Nations Cup,Cameroon,-16,+16,1617,1484
2022-01-17,Burkina Faso,Ethiopia,1,1,African Nations Cup,Cameroon,-16,+16,1562,1341
2022-01-18,Uganda,Moldova,3,2,Friendly,Turkey,+3,-3,1467,1187
2022-01-18,Zimbabwe,Guinea,2,1,African Nations Cup,Cameroon,+35,-35,1317,1402
2022-01-18,Malawi,Senegal,0,0,African Nations Cup,Cameroon,+20,-20,1315,1673
2022-01-18,Gabon,Morocco,2,2,African Nations Cup,Cameroon,+19,-19,1448,1764
2022-01-18,Comoros,Ghana,3,2,African Nations Cup,Cameroon,+44,-44,1271,1526
2022-01-19,Nigeria,Guinea-Bissau,2,0,African Nations Cup,Cameroon,+11,-11,1692,1364
2022-01-19,Egypt,Sudan,1,0,African Nations Cup,Cameroon,+6,-6,1651,1302
2022-01-20,Mali,Mauritania,2,0,African Nations Cup,Cameroon,+10,-10,1640,1304
2022-01-20,Ivory Coast,Algeria,3,1,African Nations Cup,Cameroon,+48,-48,1690,1695
2022-01-20,Gambia,Tunisia,1,0,African Nations Cup,Cameroon,+40,-40,1435,1588
2022-01-20,Equatorial Guinea,Sierra Leone,1,0,African Nations Cup,Cameroon,+19,-19,1482,1358
2022-01-20,Peru,Jamaica,3,0,Friendly,Peru,+4,-4,1832,1584
2022-01-21,South Korea,Moldova,4,0,Friendly,Turkey,+1,-1,1795,1186
2022-01-21,Iraq,Uganda,1,0,Friendly,Iraq,+5,-5,1554,1462
2022-01-21,Bolivia,Trinidad and Tobago,5,0,Friendly,Bolivia,+3,-3,1696,1365
2022-01-23,Tunisia,Nigeria,1,0,African Nations Cup,Cameroon,+32,-32,1620,1660
2022-01-23,Burkina Faso,Gabon,1,1,African Nations Cup,Cameroon,-8,+8,1554,1456
2022-01-24,Gambia,Guinea,1,0,African Nations Cup,Cameroon,+23,-23,1458,1379
2022-01-24,Cameroon,Comoros,2,1,African Nations Cup,Cameroon,+4,-4,1621,1267
2022-01-25,Senegal,Cape Verde,2,0,African Nations Cup,Cameroon,+19,-19,1692,1465
2022-01-25,Morocco,Malawi,2,1,African Nations Cup,Cameroon,+4,-4,1768,1311
2022-01-26,Equatorial Guinea,Mali,0,0,African Nations Cup,Cameroon,+11,-11,1493,1629
2022-01-26,Egypt,Ivory Coast,0,0,African Nations Cup,Cameroon,+3,-3,1654,1687
2022-01-27,Uzbekistan,South Sudan,3,0,Friendly,the United Arab Emirates,+3,-3,1525,1084
2022-01-27,Indonesia,East Timor,4,1,Friendly,Indonesia,+1,-1,1216,622
2022-01-27,Bahrain,Uganda,3,1,Friendly,Bahrain,+9,-9,1513,1453
2022-01-27,Anguilla,British Virgin Islands,2,1,Friendly,England,+11,-11,568,591
2022-01-27,United Arab Emirates,Syria,2,0,World Cup qualifier,the United Arab Emirates,+17,-17,1503,1410
2022-01-27,Saudi Arabia,Oman,1,0,World Cup qualifier,Saudi Arabia,+9,-9,1637,1514
2022-01-27,Lebanon,South Korea,0,1,World Cup qualifier,Lebanon,-6,+6,1378,1801
2022-01-27,Japan,China,2,0,World Cup qualifier,Japan,+7,-7,1767,1496
2022-01-27,Iran,Iraq,1,0,World Cup qualifier,Iran,+4,-4,1840,1550
2022-01-27,Australia,Vietnam,4,0,World Cup qualifier,Australia,+4,-4,1737,1334
2022-01-27,United States,El Salvador,1,0,World Cup qualifier,the United States,+3,-3,1863,1497
