Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2020-01-07,Canada,Barbados,4,1,Friendly,the United States,+2,-2,1607,1103
2020-01-09,Sweden,Moldova,1,0,Friendly,Qatar,+1,-1,1861,1239
2020-01-10,Canada,Barbados,4,1,Friendly,the United States,+2,-2,1609,1101
2020-01-12,Sweden,Kosovo,1,0,Friendly,Qatar,+3,-3,1864,1562
2020-01-15,Iceland,Canada,1,0,Friendly,the United States,+8,-8,1679,1601
2020-01-15,Bangladesh,Palestine,0,2,Bangabandhu Gold Cup,Bangladesh,-3,+3,828,1384
2020-01-16,Burundi,Mauritius,4,1,Bangabandhu Gold Cup,Bangladesh,+16,-16,1184,1012
2020-01-17,Palestine,Sri Lanka,2,0,Bangabandhu Gold Cup,Bangladesh,+1,-1,1385,670
2020-01-18,Burundi,Seychelles,3,1,Bangabandhu Gold Cup,Bangladesh,+8,-8,1192,906
2020-01-19,Bangladesh,Sri Lanka,3,0,Bangabandhu Gold Cup,Bangladesh,+10,-10,838,660
2020-01-19,Iceland,El Salvador,1,0,Friendly,the United States,+5,-5,1684,1485
2020-01-20,Mauritius,Seychelles,2,2,Bangabandhu Gold Cup,Bangladesh,-4,+4,1008,910
2020-01-22,Palestine,Seychelles,1,0,Bangabandhu Gold Cup,Bangladesh,+2,-2,1387,908
2020-01-23,Bangladesh,Burundi,0,3,Bangabandhu Gold Cup,Bangladesh,-10,+10,828,1202
2020-01-25,Palestine,Burundi,3,1,Bangabandhu Gold Cup,Bangladesh,+12,-12,1399,1190
2020-01-25,Eritrea,Sudan,0,1,Friendly,Eritrea,-9,+9,1144,1280
2020-02-01,United States,Costa Rica,1,0,Friendly,the United States,+6,-6,1727,1653
2020-02-23,Belarus,Uzbekistan,1,0,Friendly,the United Arab Emirates,+12,-12,1506,1567
2020-02-25,Nicaragua,Panama,0,0,Friendly,Nicaragua,+6,-6,1195,1499
2020-02-26,Bulgaria,Belarus,0,1,Friendly,Bulgaria,-15,+15,1560,1521
2020-03-04,Guatemala,Panama,0,2,Friendly,Guatemala,-19,+19,1483,1518
2020-03-11,Jamaica,Bermuda,2,0,Friendly,Jamaica,+3,-3,1585,1297
2020-09-03,Uzbekistan,Tajikistan,2,1,Friendly,Uzbekistan,+2,-2,1569,1231
2020-09-03,Latvia,Andorra,0,0,European Nations League D,Latvia,-12,+12,1242,1118
