Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2018-03-23,Uruguay,Czechia,2,0,Friendly tournament,China,+13,-13,1879,1700
2018-03-24,Angola,Zimbabwe,2,2,Friendly tournament,Zambia,+9,-9,1261,1468
2018-03-24,Armenia,Estonia,0,0,Friendly,Armenia,-2,+2,1479,1516
2018-03-24,Botswana,Lesotho,1,0,Friendly,Botswana,+8,-8,1261,1262
2018-03-24,Canada,New Zealand,1,0,Friendly,Spain,+10,-10,1535,1514
2018-03-24,Georgia,Lithuania,4,0,Friendly,Georgia,+10,-10,1492,1397
2018-03-24,Israel,Romania,1,2,Friendly,Israel,-8,+8,1526,1696
2018-03-24,Ivory Coast,Togo,2,2,Friendly,France,-6,+6,1597,1389
2018-03-24,Kenya,Comoros,2,2,Friendly,Morocco,-8,+8,1389,1049
2018-03-24,Kosovo,Madagascar,1,0,Friendly,France,+10,-10,1381,1358
2018-03-24,Mauritania,Guinea,2,0,Friendly,Mauritania,+18,-18,1319,1454
2018-03-24,Northern Ireland,South Korea,2,1,Friendly,Northern Ireland,+10,-10,1685,1749
2018-03-24,Qatar,Syria,2,2,Friendly tournament,Iraq,+5,-5,1492,1605
2018-03-24,Sweden,Chile,1,2,Friendly,Sweden,-12,+12,1806,1872
2018-03-24,Uganda,São Tomé and Príncipe,3,1,Friendly,Uganda,+2,-2,1463,1076
2018-03-24,Zambia,South Africa,0,2,Friendly tournament,Zambia,-26,+26,1470,1560
2018-03-25,Barbados,Bermuda,0,0,Friendly,Barbados,-1,+1,1137,1191
2018-03-25,Congo,Guinea-Bissau,2,0,Friendly,France,+11,-11,1393,1276
2018-03-25,Dominican Republic,Saint Kitts and Nevis,2,1,Friendly,the Dominican Republic,+7,-7,1257,1248
2018-03-25,Faroe Islands,Liechtenstein,3,0,Friendly,Spain,+11,-11,1294,1144
2018-03-25,Gabon,United Arab Emirates,1,0,King's Cup,Thailand,+20,-20,1439,1531
2018-03-25,Gibraltar,Latvia,1,0,Friendly,Gibraltar,+15,-15,1094,1343
2018-03-25,Jamaica,Antigua and Barbuda,1,1,Friendly,Jamaica,-9,+9,1561,1219
2018-03-25,Kuwait,Cameroon,1,3,Friendly,Kuwait,-10,+10,1405,1655
2018-03-25,Martinique,Trinidad and Tobago,0,0,Friendly,Martinique,-3,+3,1422,1430
2018-03-25,Nicaragua,Cuba,3,3,Friendly,Nicaragua,-2,+2,1277,1298
2018-03-25,Thailand,Slovakia,2,3,King's Cup,Thailand,-6,+6,1395,1762
2018-03-26,Albania,Norway,0,1,Friendly,Albania,-13,+13,1595,1613
2018-03-26,Bulgaria,Kazakhstan,2,1,Friendly,Hungary,+4,-4,1614,1354
2018-03-26,China,Czechia,1,4,Friendly tournament,China,-22,+22,1520,1722
2018-03-26,Curaçao,Bolivia,1,0,Friendly,Curaçao,+17,-17,1293,1683
2018-03-26,Finland,Malta,5,0,Friendly,Turkey,+4,-4,1604,1202
2018-03-26,Netherlands,Portugal,3,0,Friendly,Switzerland,+23,-23,1907,1974
2018-03-26,Uruguay,Wales,1,0,Friendly tournament,China,+11,-11,1890,1775
2018-03-27,Afghanistan,Cambodia,2,1,Asian Cup qualifier,Tajikistan,+5,-5,1154,818
2018-03-27,Armenia,Lithuania,0,1,Friendly,Armenia,-15,+15,1464,1412
2018-03-27,Australia,Colombia,0,0,Friendly,England,+6,-6,1713,1935
2018-03-27,Azerbaijan,Macedonia,1,1,Friendly,Turkey,+4,-4,1392,1517
2018-03-27,Bahrain,Turkmenistan,4,0,Asian Cup qualifier,Bahrain,+15,-15,1415,1237
2018-03-27,Belgium,Saudi Arabia,4,0,Friendly,Belgium,+2,-2,1929,1562
2018-03-27,Bosnia and Herzegovina,Senegal,0,0,Friendly,France,0,0,1730,1746
2018-03-27,Central African Republic,Kenya,3,2,Friendly,Morocco,+13,-13,1312,1376
2018-03-27,Croatia,Mexico,1,0,Friendly,the United States,+11,-11,1853,1859
2018-03-27,Denmark,Chile,0,0,Friendly,Denmark,-2,+2,1842,1874
2018-03-27,England,Italy,1,1,Friendly,England,-4,+4,1941,1898
2018-03-27,Georgia,Estonia,2,0,Friendly,Georgia,+12,-12,1504,1504
2018-03-27,Germany,Brazil,0,1,Friendly,Germany,-12,+12,2092,2131
2018-03-27,Greece,Egypt,1,0,Friendly,Switzerland,+10,-10,1664,1644
2018-03-27,Hungary,Scotland,0,1,Friendly,Hungary,-10,+10,1584,1719
2018-03-27,Iran,Algeria,2,1,Friendly,Austria,+4,-4,1794,1538
2018-03-27,Iraq,Syria,1,1,Friendly tournament,Iraq,-2,+2,1557,1607
2018-03-27,Ivory Coast,Moldova,2,1,Friendly,France,+3,-3,1600,1323
2018-03-27,Jordan,Vietnam,1,1,Asian Cup qualifier,Jordan,-14,+14,1465,1285
2018-03-27,Kosovo,Burkina Faso,2,0,Friendly,France,+24,-24,1405,1586
2018-03-27,Kyrgyzstan,India,2,1,Asian Cup qualifier,Kyrgyzstan,+11,-11,1244,1148
2018-03-27,Laos,Bangladesh,2,2,Friendly,Laos,-2,+2,769,805
2018-03-27,Lebanon,Malaysia,2,1,Asian Cup qualifier,Lebanon,+2,-2,1453,1051
