Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2023-01-02,Thailand,Cambodia,3,1,Southeast Asian Championship,Thailand,+2,-2,1383,877
2023-01-02,Philippines,Indonesia,1,2,Southeast Asian Championship,the Philippines,-14,+14,1047,1288
2023-01-03,Vietnam,Myanmar,3,0,Southeast Asian Championship,Vietnam,+2,-2,1400,894
2023-01-03,Malaysia,Singapore,4,1,Southeast Asian Championship,Malaysia,+20,-20,1233,1128
2023-01-06,Indonesia,Vietnam,0,0,Southeast Asian Championship,Indonesia,+1,-1,1289,1399
2023-01-06,Saudi Arabia,Yemen,2,0,Gulf Cup,Iraq,+2,-2,1645,1096
2023-01-06,Iraq,Oman,0,0,Gulf Cup,Iraq,-6,+6,1568,1571
2023-01-07,Malaysia,Thailand,1,0,Southeast Asian Championship,Malaysia,+23,-23,1256,1360
2023-01-07,Qatar,Kuwait,2,0,Gulf Cup,Iraq,+11,-11,1589,1302
2023-01-07,Bahrain,United Arab Emirates,2,1,Gulf Cup,Iraq,+20,-20,1514,1472
2023-01-08,Estonia,Iceland,1,1,Friendly,Portugal,+3,-3,1433,1539
2023-01-09,Vietnam,Indonesia,2,0,Southeast Asian Championship,Vietnam,+14,-14,1413,1275
2023-01-09,Oman,Yemen,3,2,Gulf Cup,Iraq,+2,-2,1573,1094
2023-01-09,Iraq,Saudi Arabia,2,0,Gulf Cup,Iraq,+28,-28,1596,1617
2023-01-09,Sweden,Finland,2,0,Friendly,Portugal,+12,-12,1770,1677
2023-01-10,Thailand,Malaysia,3,0,Southeast Asian Championship,Thailand,+17,-17,1377,1239
2023-01-10,Kuwait,United Arab Emirates,1,0,Gulf Cup,Iraq,+29,-29,1331,1443
2023-01-10,Bahrain,Qatar,2,1,Gulf Cup,Iraq,+24,-24,1538,1565
2023-01-12,Oman,Saudi Arabia,2,1,Gulf Cup,Iraq,+23,-23,1596,1594
2023-01-12,Iraq,Yemen,5,0,Gulf Cup,Iraq,+2,-2,1598,1092
2023-01-12,Sweden,Iceland,2,1,Friendly,Portugal,+4,-4,1774,1535
2023-01-12,Estonia,Finland,1,0,Friendly,Portugal,+16,-16,1449,1661
2023-01-13,Vietnam,Thailand,2,2,Southeast Asian Championship,Vietnam,-7,+7,1406,1384
2023-01-13,Qatar,United Arab Emirates,1,1,Gulf Cup,Iraq,-7,+7,1558,1450
2023-01-13,Bahrain,Kuwait,1,1,Gulf Cup,Iraq,-11,+11,1527,1342
2023-01-16,Thailand,Vietnam,1,0,Southeast Asian Championship,Thailand,+16,-16,1400,1390
2023-01-16,Oman,Bahrain,1,0,Gulf Cup,Iraq,+16,-16,1612,1511
2023-01-16,Iraq,Qatar,2,1,Gulf Cup,Iraq,+12,-12,1610,1546
2023-01-19,Iraq,Oman,3,2,Gulf Cup,Iraq,+15,-15,1625,1597
2023-01-25,United States,Serbia,1,2,Friendly,the United States,-12,+12,1807,1847
2023-01-28,United States,Colombia,0,0,Friendly,the United States,0,0,1807,1919
2023-01-29,Trinidad and Tobago,Saint Martin,2,0,Friendly,Trinidad and Tobago,+1,-1,1340,838
2023-02-22,Grenada,Barbados,1,1,Friendly,Grenada,-6,+6,1130,1012
2023-02-23,French Guiana,Martinique,0,1,Friendly,French Guiana,-12,+12,1336,1399
2023-02-24,Grenada,Barbados,2,2,Friendly,Grenada,-6,+6,1124,1018
2023-02-25,Malawi,Lesotho,1,1,Friendly,Malawi,-5,+5,1291,1228
2023-02-25,French Guiana,Martinique,2,2,Friendly,French Guiana,-1,+1,1335,1400
