Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2023-01-25,United States,Serbia,1,2,Friendly,the United States,-12,+12,1807,1847
2023-03-23,Hungary,Estonia,1,0,Friendly,Hungary,+1,-1,1826,1448
2023-03-23,Slovakia,Luxembourg,0,0,European Championship qualifier,Slovakia,-12,+12,1568,1455
2023-03-23,Portugal,Liechtenstein,4,0,European Championship qualifier,Portugal,0,0,1998,978
2023-03-23,Kazakhstan,Slovenia,1,2,European Championship qualifier,Kazakhstan,-11,+11,1380,1677
2023-03-23,Italy,England,1,2,European Championship qualifier,Italy,-26,+26,1947,1993
2023-03-23,Denmark,Finland,3,1,European Championship qualifier,Denmark,+8,-8,1891,1653
2023-03-24,Sweden,Belgium,0,3,European Championship qualifier,Sweden,-28,+28,1746,1976
2023-03-24,Serbia,Lithuania,2,0,European Championship qualifier,Serbia,+1,-1,1848,1247
2023-03-24,France,Netherlands,4,0,European Championship qualifier,France,+26,-26,2108,2048
2023-03-24,Czechia,Poland,3,1,European Championship qualifier,Czechia,+23,-23,1802,1779
2023-03-24,Austria,Azerbaijan,4,1,European Championship qualifier,Austria,+5,-5,1756,1418
2023-03-25,Germany,Peru,2,0,Friendly,Germany,+7,-7,1963,1844
2023-03-25,Georgia,Mongolia,6,1,Friendly,Georgia,0,0,1652,804
2023-03-25,Spain,Norway,3,0,European Championship qualifier,Spain,+9,-9,2005,1744
2023-03-25,Scotland,Cyprus,3,0,European Championship qualifier,Scotland,+4,-4,1756,1352
2023-03-25,Belarus,Switzerland,0,5,European Championship qualifier,Serbia,-5,+5,1410,1884
2023-03-25,Croatia,Wales,1,1,European Championship qualifier,Croatia,-15,+15,1936,1732
2023-03-25,Andorra,Romania,0,2,European Championship qualifier,Andorra,-5,+5,1103,1615
2023-03-26,Slovenia,San Marino,2,0,European Championship qualifier,Slovenia,0,0,1677,783
2023-03-26,Slovakia,Bosnia and Herzegovina,2,0,European Championship qualifier,Slovakia,+27,-27,1595,1607
2023-03-26,Malta,Italy,0,2,European Championship qualifier,Malta,-2,+2,1254,1949
2023-03-26,Luxembourg,Portugal,0,6,European Championship qualifier,Luxembourg,-6,+6,1449,2004
2023-03-26,Kazakhstan,Denmark,3,2,European Championship qualifier,Kazakhstan,+37,-37,1417,1854
2023-03-26,England,Ukraine,2,0,European Championship qualifier,England,+10,-10,2003,1812
2023-03-27,Poland,Albania,1,0,European Championship qualifier,Poland,+5,-5,1784,1538
2023-03-27,Netherlands,Gibraltar,3,0,European Championship qualifier,the Netherlands,0,0,2048,1068
2023-03-27,Montenegro,Serbia,0,2,European Championship qualifier,Montenegro,-16,+16,1549,1864
2023-03-27,Moldova,Czechia,0,0,European Championship qualifier,Moldova,+17,-17,1249,1785
2023-03-27,Ireland,France,0,1,European Championship qualifier,Ireland,-5,+5,1673,2113
2023-03-27,Hungary,Bulgaria,3,0,European Championship qualifier,Hungary,+5,-5,1831,1492
2023-03-27,Austria,Estonia,2,1,European Championship qualifier,Austria,+3,-3,1759,1445
2023-03-28,Germany,Belgium,2,3,Friendly,Germany,-12,+12,1951,1988
2023-03-28,Turkey,Croatia,0,2,European Championship qualifier,Turkey,-21,+21,1702,1957
2023-03-28,Switzerland,Israel,3,0,European Championship qualifier,Switzerland,+7,-7,1891,1602
2023-03-28,Scotland,Spain,2,0,European Championship qualifier,Scotland,+42,-42,1798,1963
2023-03-28,Romania,Belarus,2,1,European Championship qualifier,Romania,+6,-6,1621,1404
2023-03-28,Georgia,Norway,1,1,European Championship qualifier,Georgia,0,0,1652,1744
2023-06-12,Germany,Ukraine,3,3,Friendly,Germany,-6,+6,1945,1818
2023-06-14,Netherlands,Croatia,2,4,European Nations League,the Netherlands,-56,+56,1992,2013
2023-06-15,Spain,Italy,2,1,European Nations League,the Netherlands,+24,-24,1987,1925
2023-06-16,Serbia,Jordan,3,2,Friendly,Austria,+3,-3,1867,1589
2023-06-16,Poland,Germany,1,0,Friendly,Poland,+12,-12,1796,1933
2023-06-16,North Macedonia,Ukraine,2,3,European Championship qualifier,North Macedonia,-11,+11,1530,1829
2023-06-16,Malta,England,0,4,European Championship qualifier,Malta,-2,+2,1269,2005
2023-06-16,Kosovo,Romania,0,0,European Championship qualifier,Kosovo,+1,-1,1502,1620
2023-06-16,France,Gibraltar,3,0,European Championship qualifier,Portugal,0,0,2113,1068
2023-06-16,Finland,Slovenia,2,0,European Championship qualifier,Finland,+22,-22,1694,1655
2023-06-16,Denmark,Northern Ireland,1,0,European Championship qualifier,Denmark,+3,-3,1857,1520
2023-06-16,Andorra,Switzerland,1,2,European Championship qualifier,Andorra,-1,+1,1120,1892
2023-06-17,Portugal,Bosnia and Herzegovina,3,0,European Championship qualifier,Portugal,+4,-4,2008,1603
2023-06-17,Norway,Scotland,1,2,European Championship qualifier,Norway,-23,+23,1721,1821
2023-06-17,Montenegro,Hungary,0,0,European Championship qualifier,Montenegro,+10,-10,1559,1821
2023-06-17,Iceland,Slovakia,1,2,European Championship qualifier,Iceland,-22,+22,1502,1617
2023-06-17,Faroe Islands,Czechia,0,3,European Championship qualifier,the Faroe Islands,-7,+7,1300,1792
2023-06-17,Cyprus,Georgia,1,2,European Championship qualifier,Cyprus,-10,+10,1347,1662
2023-06-17,Belgium,Austria,1,1,European Championship qualifier,Belgium,-15,+15,1973,1774
2023-06-17,Albania,Moldova,2,0,European Championship qualifier,Albania,+6,-6,1544,1243
2023-06-18,Netherlands,Italy,2,3,European Nations League,the Netherlands,-36,+36,1956,1961
2023-06-18,Croatia,Spain,0,0,European Nations League,the Netherlands,-2,+2,2011,1989
2023-06-19,Ukraine,Malta,1,0,European Championship qualifier,Slovakia,+2,-2,1831,1267
2023-06-19,Switzerland,Romania,2,2,European Championship qualifier,Switzerland,-16,+16,1876,1636
