Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2020-09-03,Slovenia,Greece,0,0,European Nations League C,Slovenia,-4,+4,1581,1612
2020-09-03,Turkey,Hungary,0,1,European Nations League B,Turkey,-33,+33,1746,1652
2020-09-03,Russia,Serbia,3,1,European Nations League B,Russia,+21,-21,1815,1770
2020-09-03,Ukraine,Switzerland,2,1,European Nations League A,Ukraine,+17,-17,1871,1881
2020-09-03,Germany,Spain,1,1,European Nations League A,Germany,-2,+2,1963,2031
2020-09-04,Belarus,Albania,0,2,European Nations League C,Belarus,-38,+38,1483,1569
2020-09-04,Slovakia,Czechia,1,3,European Nations League B,Slovakia,-38,+38,1696,1774
2020-09-04,Scotland,Israel,1,1,European Nations League B,Scotland,-11,+11,1630,1549
2020-09-04,Romania,Northern Ireland,1,1,European Nations League B,Romania,-7,+7,1694,1686
2020-09-04,Norway,Austria,1,2,European Nations League B,Norway,-25,+25,1697,1766
2020-09-04,Netherlands,Poland,1,0,European Nations League A,the Netherlands,+5,-5,2023,1785
2020-09-04,Italy,Bosnia and Herzegovina,1,1,European Nations League A,Italy,-16,+16,1953,1699
2020-09-05,Estonia,Georgia,0,1,European Nations League C,Estonia,-19,+19,1415,1570
2020-09-05,Sweden,France,0,1,European Nations League A,Sweden,-15,+15,1849,2062
2020-09-05,Portugal,Croatia,4,1,European Nations League A,Portugal,+20,-20,2005,1901
2020-09-05,Iceland,England,0,1,European Nations League A,Iceland,-11,+11,1673,1967
2020-09-05,Denmark,Belgium,0,2,European Nations League A,Denmark,-22,+22,1869,2106
2020-09-06,Slovenia,Moldova,1,0,European Nations League C,Slovenia,+3,-3,1584,1251
2020-09-06,Serbia,Turkey,0,0,European Nations League B,Serbia,-7,+7,1763,1753
2020-09-06,Hungary,Russia,2,3,European Nations League B,Hungary,-16,+16,1636,1831
2020-09-06,Switzerland,Germany,1,1,European Nations League A,Switzerland,-1,+1,1880,1964
2020-09-06,Spain,Ukraine,4,0,European Nations League A,Spain,+14,-14,2045,1857
2020-09-07,Albania,Lithuania,0,1,European Nations League C,Albania,-36,+36,1533,1321
2020-09-07,Israel,Slovakia,1,1,European Nations League B,Israel,+3,-3,1552,1693
2020-09-07,Czechia,Scotland,1,2,European Nations League B,Czechia,-32,+32,1742,1662
2020-09-07,Austria,Romania,2,3,European Nations League B,Austria,-29,+29,1737,1723
2020-09-07,Netherlands,Italy,0,1,European Nations League A,the Netherlands,-29,+29,1994,1982
2020-09-07,Bosnia and Herzegovina,Poland,1,2,European Nations League A,Bosnia and Herzegovina,-21,+21,1678,1806
2020-09-08,Georgia,North Macedonia,1,1,European Nations League C,Georgia,-6,+6,1564,1562
2020-09-08,Sweden,Portugal,0,2,European Nations League A,Sweden,-25,+25,1824,2030
2020-09-08,France,Croatia,4,2,European Nations League A,France,+11,-11,2073,1890
2020-09-08,Denmark,England,0,0,European Nations League A,Denmark,0,0,1869,1967
2020-09-08,Belgium,Iceland,5,1,European Nations League A,Belgium,+3,-3,2109,1670
2020-10-07,Switzerland,Croatia,1,2,Friendly,Switzerland,-13,+13,1867,1903
2020-10-07,Slovenia,San Marino,4,0,Friendly,Slovenia,0,0,1584,809
2020-10-07,Portugal,Spain,0,0,Friendly,Portugal,-2,+2,2028,2047
2020-10-07,Poland,Finland,5,1,Friendly,Poland,+7,-7,1813,1652
2020-10-07,Netherlands,Mexico,0,1,Friendly,the Netherlands,-15,+15,1979,1921
2020-10-07,Italy,Moldova,6,0,Friendly,Italy,0,0,1982,1251
2020-10-07,Germany,Turkey,3,3,Friendly,Germany,-7,+7,1957,1760
2020-10-07,France,Ukraine,7,1,Friendly,France,+6,-6,2079,1851
2020-10-07,Denmark,Faroe Islands,4,0,Friendly,Denmark,+1,-1,1870,1256
2020-10-07,Cyprus,Czechia,1,2,Friendly,Cyprus,-3,+3,1341,1745
2020-10-07,Austria,Greece,2,1,Friendly,Austria,+5,-5,1742,1629
2020-10-08,England,Wales,3,0,Friendly,England,+6,-6,1973,1800
2020-10-08,Belgium,Ivory Coast,1,1,Friendly,Belgium,-9,+9,2100,1626
2020-10-08,Slovakia,Ireland,0,0,European Championship qualifier,Slovakia,-5,+5,1688,1700
2020-10-08,Scotland,Israel,0,0,European Championship qualifier,Scotland,-11,+11,1651,1563
2020-10-08,Norway,Serbia,1,2,European Championship qualifier,Norway,-25,+25,1719,1788
2020-10-08,Iceland,Romania,2,1,European Championship qualifier,Iceland,+17,-17,1687,1706
2020-10-08,Georgia,Belarus,1,0,European Championship qualifier,Georgia,+11,-11,1575,1493
2020-10-08,Bulgaria,Hungary,1,3,European Championship qualifier,Bulgaria,-32,+32,1527,1668
2020-10-10,Ukraine,Germany,1,2,European Nations League A,Ukraine,-20,+20,1831,1977
2020-10-10,Spain,Switzerland,1,0,European Nations League A,Spain,+7,-7,2054,1860
2020-10-11,Kosovo,Slovenia,0,1,European Nations League C,Kosovo,-22,+22,1491,1606
2020-10-11,Kazakhstan,Albania,0,0,European Nations League C,Kazakhstan,+3,-3,1378,1530
2020-10-11,Armenia,Georgia,2,2,European Nations League C,Poland,+6,-6,1467,1569
2020-10-11,Serbia,Hungary,0,1,European Nations League B,Serbia,-31,+31,1757,1699
2020-10-11,Scotland,Slovakia,1,0,European Nations League B,Scotland,+16,-16,1667,1672
2020-10-11,Northern Ireland,Austria,0,1,European Nations League B,Northern Ireland,-20,+20,1627,1762
2020-10-11,Norway,Romania,4,0,European Nations League B,Norway,+26,-26,1745,1680
2020-10-11,Israel,Czechia,1,2,European Nations League B,Israel,-15,+15,1548,1760
2020-10-11,Poland,Italy,0,0,European Nations League A,Poland,+4,-4,1817,1978
2020-10-11,Iceland,Denmark,0,3,European Nations League A,Iceland,-27,+27,1660,1897
2020-10-11,France,Portugal,0,0,European Nations League A,France,-8,+8,2071,2036
2020-10-11,England,Belgium,2,1,European Nations League A,England,+22,-22,1995,2078
2020-10-11,Croatia,Sweden,2,1,European Nations League A,Croatia,+11,-11,1914,1826
2020-10-11,Bosnia and Herzegovina,Netherlands,0,0,European Nations League A,Bosnia and Herzegovina,+11,-11,1681,1968
2020-10-13,Ukraine,Spain,1,0,European Nations League A,Ukraine,+27,-27,1858,2027
2020-10-13,Germany,Switzerland,3,3,European Nations League A,Germany,-11,+11,1966,1871
2020-10-14,North Macedonia,Georgia,1,1,European Nations League C,North Macedonia,-6,+6,1562,1575
2020-10-14,Moldova,Slovenia,0,4,European Nations League C,Moldova,-14,+14,1233,1620
2020-10-14,Lithuania,Albania,0,0,European Nations League C,Lithuania,+5,-5,1351,1525
2020-10-14,Turkey,Serbia,2,2,European Nations League B,Turkey,-6,+6,1763,1763
2020-10-14,Slovakia,Israel,2,3,European Nations League B,Slovakia,-31,+31,1641,1579
2020-10-14,Scotland,Czechia,1,0,European Nations League B,Scotland,+20,-20,1687,1740
2020-10-14,Russia,Hungary,0,0,European Nations League B,Russia,-11,+11,1798,1710
2020-10-14,Romania,Austria,0,1,European Nations League B,Romania,-21,+21,1659,1783
2020-10-14,Portugal,Sweden,3,0,European Nations League A,Portugal,+10,-10,2046,1816
2020-10-14,Poland,Bosnia and Herzegovina,3,0,European Nations League A,Poland,+14,-14,1831,1667
2020-10-14,Italy,Netherlands,1,1,European Nations League A,Italy,-6,+6,1972,1974
2020-10-14,Iceland,Belgium,1,2,European Nations League A,Iceland,-6,+6,1654,2084
2020-10-14,England,Denmark,0,1,European Nations League A,England,-30,+30,1965,1927
2020-10-14,Croatia,France,1,2,European Nations League A,Croatia,-17,+17,1897,2088
2020-11-11,Turkey,Croatia,3,3,Friendly,Turkey,+1,-1,1764,1896
2020-11-11,Slovenia,Azerbaijan,0,0,Friendly,Slovenia,-8,+8,1612,1371
2020-11-11,Romania,Belarus,5,3,Friendly,Romania,+6,-6,1665,1498
2020-11-11,Portugal,Andorra,7,0,Friendly,Portugal,0,0,2046,1081
2020-11-11,Poland,Ukraine,2,0,Friendly,Poland,+12,-12,1843,1846
2020-11-11,Netherlands,Spain,1,1,Friendly,the Netherlands,-1,+1,1973,2028
2020-11-11,Luxembourg,Austria,0,3,Friendly,Luxembourg,-5,+5,1386,1788
2020-11-11,Italy,Estonia,4,0,Friendly,Italy,+1,-1,1973,1377
2020-11-11,Germany,Czechia,1,0,Friendly,Germany,+3,-3,1969,1737
2020-11-11,France,Finland,0,2,Friendly,France,-28,+28,2060,1709
2020-11-11,Denmark,Sweden,2,0,Friendly,Denmark,+7,-7,1934,1809
