Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2017-01-11,Chile,Croatia,1,1,Friendly tournament,China,-4,+4,1978,1890
2017-01-14,China,Croatia,1,1,Friendly tournament,China,+10,-10,1519,1880
2017-01-23,Georgia,Uzbekistan,2,2,Friendly,the United Arab Emirates,+5,-5,1478,1661
2017-01-25,Jordan,Georgia,1,0,Friendly,the United Arab Emirates,+9,-9,1512,1469
2017-01-29,United States,Serbia,0,0,Friendly,the United States,-3,+3,1732,1729
2017-03-22,Czechia,Lithuania,3,0,Friendly,Czechia,+4,-4,1702,1460
2017-03-22,Germany,England,1,0,Friendly,Germany,+5,-5,2043,1924
2017-03-22,Scotland,Canada,1,1,Friendly,Scotland,-6,+6,1665,1531
2017-03-24,Austria,Moldova,2,0,World Cup qualifier,Austria,+5,-5,1690,1345
2017-03-24,Croatia,Ukraine,1,0,World Cup qualifier,Croatia,+9,-9,1889,1760
2017-03-24,Georgia,Serbia,1,3,World Cup qualifier,Georgia,-17,+17,1452,1746
2017-03-24,Italy,Albania,2,0,World Cup qualifier,Italy,+4,-4,1947,1576
2017-03-24,Spain,Israel,4,1,World Cup qualifier,Spain,+5,-5,1984,1622
2017-03-25,Belgium,Greece,1,1,World Cup qualifier,Belgium,-15,+15,1890,1668
2017-03-25,Bulgaria,Netherlands,2,0,World Cup qualifier,Bulgaria,+46,-46,1632,1843
2017-03-25,Luxembourg,France,1,3,World Cup qualifier,Luxembourg,-1,+1,1243,2010
2017-03-25,Portugal,Hungary,3,0,World Cup qualifier,Portugal,+9,-9,1940,1682
2017-03-25,Switzerland,Latvia,1,0,World Cup qualifier,Switzerland,+2,-2,1859,1413
2017-03-26,Azerbaijan,Germany,1,4,World Cup qualifier,Azerbaijan,-4,+4,1436,2047
2017-03-26,England,Lithuania,2,0,World Cup qualifier,England,+2,-2,1926,1458
2017-03-26,Malta,Slovakia,1,3,World Cup qualifier,Malta,-4,+4,1211,1757
2017-03-26,Montenegro,Poland,1,2,World Cup qualifier,Montenegro,-12,+12,1583,1863
2017-03-26,Romania,Denmark,0,0,World Cup qualifier,Romania,-4,+4,1678,1719
2017-03-26,San Marino,Czechia,0,6,World Cup qualifier,San Marino,-1,+1,859,1703
2017-03-26,Scotland,Slovenia,1,0,World Cup qualifier,Scotland,+14,-14,1679,1639
2017-03-28,Albania,Bosnia and Herzegovina,1,2,Friendly,Albania,-8,+8,1568,1764
2017-03-28,Austria,Finland,1,1,Friendly,Austria,-6,+6,1684,1550
2017-03-28,Estonia,Croatia,3,0,Friendly,Estonia,+31,-31,1473,1858
2017-03-28,France,Spain,0,2,Friendly,France,-20,+20,1990,2004
2017-03-28,Georgia,Latvia,5,0,Friendly,Georgia,+12,-12,1464,1401
2017-03-28,Netherlands,Italy,1,2,Friendly,the Netherlands,-10,+10,1833,1957
2017-03-28,Portugal,Sweden,2,3,Friendly,Portugal,-17,+17,1923,1787
2017-03-28,Russia,Belgium,3,3,Friendly,Russia,+3,-3,1674,1887
2017-05-27,Croatia,Mexico,2,1,Friendly,the United States,+12,-12,1870,1921
2017-05-31,Italy,San Marino,8,0,Friendly,Italy,0,0,1957,859
2017-05-31,Morocco,Netherlands,1,2,Friendly,Morocco,-7,+7,1613,1840
2017-06-01,Switzerland,Belarus,1,0,Friendly,Switzerland,+2,-2,1861,1553
2017-06-02,France,Paraguay,5,0,Friendly,France,+4,-4,1994,1717
2017-06-03,Portugal,Cyprus,4,0,Friendly,Portugal,+1,-1,1924,1412
2017-06-04,Luxembourg,Albania,2,1,Friendly,Luxembourg,+16,-16,1248,1552
2017-06-04,Netherlands,Ivory Coast,5,0,Friendly,the Netherlands,+8,-8,1848,1689
2017-06-05,Belgium,Czechia,2,1,Friendly,Belgium,+3,-3,1890,1700
2017-06-05,Hungary,Russia,0,3,Friendly,Hungary,-23,+23,1659,1697
2017-06-06,Denmark,Germany,1,1,Friendly,Denmark,+6,-6,1725,2041
2017-06-06,Ukraine,Malta,0,1,Friendly,Austria,-19,+19,1741,1230
2017-06-07,Georgia,Saint Kitts and Nevis,3,0,Friendly,Georgia,+5,-5,1469,1258
2017-06-07,Italy,Uruguay,3,0,Friendly,France,+13,-13,1970,1842
2017-06-07,Spain,Colombia,2,2,Friendly,Spain,-4,+4,2000,1964
2017-06-09,Andorra,Hungary,1,0,World Cup qualifier,Andorra,+39,-39,1023,1620
2017-06-09,Estonia,Belgium,0,2,World Cup qualifier,Estonia,-8,+8,1465,1898
2017-06-09,Faroe Islands,Switzerland,0,2,World Cup qualifier,the Faroe Islands,-4,+4,1281,1865
2017-06-09,Latvia,Portugal,0,3,World Cup qualifier,Latvia,-6,+6,1395,1930
2017-06-09,Netherlands,Luxembourg,5,0,World Cup qualifier,the Netherlands,+1,-1,1849,1247
