Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2019-06-11,Albania,Moldova,2,0,European Championship qualifier,Albania,+10,-10,1504,1304
2019-06-11,Andorra,France,0,4,European Championship qualifier,Andorra,0,0,1063,2050
2019-06-11,Azerbaijan,Slovakia,1,5,European Championship qualifier,Azerbaijan,-13,+13,1365,1763
2019-06-11,Belgium,Scotland,3,0,European Championship qualifier,Belgium,+4,-4,2049,1666
2019-06-11,Croatia,Tunisia,1,2,Friendly,Croatia,-18,+18,1886,1669
2019-06-11,Germany,Estonia,8,0,European Championship qualifier,Germany,+3,-3,1971,1460
2019-06-11,Hungary,Wales,1,0,European Championship qualifier,Hungary,+21,-21,1670,1746
2019-06-11,Italy,Bosnia and Herzegovina,2,1,European Championship qualifier,Italy,+7,-7,1922,1744
2019-09-05,Armenia,Italy,1,3,European Championship qualifier,Armenia,-7,+7,1454,1929
2019-09-05,Georgia,South Korea,2,2,Friendly,Turkey,+6,-6,1533,1780
2019-09-05,Gibraltar,Denmark,0,6,European Championship qualifier,Gibraltar,-2,+2,1093,1892
2019-09-05,Ireland,Switzerland,1,1,European Championship qualifier,Ireland,+4,-4,1732,1897
2019-09-05,Montenegro,Hungary,2,1,Friendly,Montenegro,+10,-10,1571,1660
2019-09-05,Romania,Spain,1,2,European Championship qualifier,Romania,-11,+11,1739,2040
2019-09-06,Austria,Latvia,6,0,European Championship qualifier,Austria,+3,-3,1739,1247
2019-09-06,Germany,Netherlands,2,4,European Championship qualifier,Germany,-38,+38,1933,2018
2019-09-06,San Marino,Belgium,0,4,European Championship qualifier,San Marino,0,0,831,2049
2019-09-06,Scotland,Russia,1,2,European Championship qualifier,Scotland,-20,+20,1646,1784
2019-09-06,Slovakia,Croatia,0,4,European Championship qualifier,Slovakia,-35,+35,1728,1921
2019-09-06,Slovenia,Poland,2,0,European Championship qualifier,Slovenia,+41,-41,1612,1763
2019-09-07,England,Bulgaria,4,0,European Championship qualifier,England,+5,-5,1945,1575
2019-09-07,France,Albania,4,1,European Championship qualifier,France,+2,-2,2052,1502
2019-09-07,Kosovo,Czechia,2,1,European Championship qualifier,Kosovo,+25,-25,1569,1713
2019-09-07,Lithuania,Ukraine,0,3,European Championship qualifier,Lithuania,-6,+6,1316,1830
2019-09-07,Serbia,Portugal,2,4,European Championship qualifier,Serbia,-23,+23,1773,2003
2019-09-08,Finland,Italy,1,2,European Championship qualifier,Finland,-12,+12,1675,1941
2019-09-08,Georgia,Denmark,0,0,European Championship qualifier,Georgia,+13,-13,1546,1879
2019-09-08,Romania,Malta,1,0,European Championship qualifier,Romania,+1,-1,1740,1188
2019-09-08,Spain,Faroe Islands,4,0,European Championship qualifier,Spain,0,0,2040,1222
2019-09-08,Switzerland,Gibraltar,4,0,European Championship qualifier,Switzerland,0,0,1897,1093
2019-09-09,Azerbaijan,Croatia,1,1,European Championship qualifier,Azerbaijan,+17,-17,1380,1904
2019-09-09,Estonia,Netherlands,0,4,European Championship qualifier,Estonia,-4,+4,1433,2022
2019-09-09,Hungary,Slovakia,1,2,European Championship qualifier,Hungary,-22,+22,1638,1750
2019-09-09,Northern Ireland,Germany,0,2,European Championship qualifier,Northern Ireland,-18,+18,1663,1951
2019-09-09,Poland,Austria,0,0,European Championship qualifier,Poland,-7,+7,1756,1746
2019-09-09,Scotland,Belgium,0,4,European Championship qualifier,Scotland,-11,+11,1635,2060
2019-09-09,Slovenia,Israel,3,2,European Championship qualifier,Slovenia,+13,-13,1625,1574
2019-09-10,Albania,Iceland,4,2,European Championship qualifier,Albania,+38,-38,1540,1659
2019-09-10,England,Kosovo,5,3,European Championship qualifier,England,+4,-4,1949,1565
2019-09-10,France,Andorra,3,0,European Championship qualifier,France,0,0,2052,1063
2019-09-10,Lithuania,Portugal,1,5,European Championship qualifier,Lithuania,-2,+2,1314,2005
2019-09-10,Luxembourg,Serbia,1,3,European Championship qualifier,Luxembourg,-8,+8,1347,1781
2019-09-10,Montenegro,Czechia,0,3,European Championship qualifier,Montenegro,-31,+31,1540,1744
2019-09-10,Ukraine,Nigeria,2,2,Friendly,Ukraine,-6,+6,1824,1689
2019-10-09,Germany,Argentina,2,2,Friendly,Germany,-3,+3,1948,1944
2019-10-10,Austria,Israel,3,1,European Championship qualifier,Austria,+10,-10,1756,1564
2019-10-10,Belgium,San Marino,9,0,European Championship qualifier,Belgium,0,0,2060,826
2019-10-10,Croatia,Hungary,3,0,European Championship qualifier,Croatia,+8,-8,1912,1630
2019-10-10,Latvia,Poland,0,3,European Championship qualifier,Latvia,-6,+6,1224,1762
2019-10-10,Netherlands,Northern Ireland,3,1,European Championship qualifier,the Netherlands,+4,-4,2026,1659
2019-10-10,North Macedonia,Slovenia,2,1,European Championship qualifier,North Macedonia,+20,-20,1543,1605
2019-10-10,Russia,Scotland,4,0,European Championship qualifier,Russia,+14,-14,1800,1621
2019-10-10,Serbia,Paraguay,1,0,Friendly,Serbia,+6,-6,1787,1731
2019-10-10,Slovakia,Wales,1,1,European Championship qualifier,Slovakia,-6,+6,1744,1757
2019-10-11,Czechia,England,2,1,European Championship qualifier,Czechia,+26,-26,1770,1923
2019-10-11,Iceland,France,0,1,European Championship qualifier,Iceland,-6,+6,1653,2058
2019-10-11,Portugal,Luxembourg,3,0,European Championship qualifier,Portugal,+1,-1,2006,1346
2019-10-11,Turkey,Albania,1,0,European Championship qualifier,Turkey,+5,-5,1773,1535
2019-10-11,Ukraine,Lithuania,2,0,European Championship qualifier,Ukraine,+2,-2,1826,1312
2019-10-12,Denmark,Switzerland,1,0,European Championship qualifier,Denmark,+15,-15,1894,1882
2019-10-12,Faroe Islands,Romania,0,3,European Championship qualifier,the Faroe Islands,-6,+6,1216,1746
2019-10-12,Georgia,Ireland,0,0,European Championship qualifier,Georgia,+5,-5,1551,1733
2019-10-12,Italy,Greece,2,0,European Championship qualifier,Italy,+3,-3,1944,1545
2019-10-12,Norway,Spain,1,1,European Championship qualifier,Norway,+12,-12,1710,2028
2019-10-13,Belarus,Netherlands,1,2,European Championship qualifier,Belarus,-3,+3,1507,2029
2019-10-13,Estonia,Germany,0,3,European Championship qualifier,Estonia,-6,+6,1437,1954
2019-10-13,Hungary,Azerbaijan,1,0,European Championship qualifier,Hungary,+5,-5,1635,1391
2019-10-13,Kazakhstan,Belgium,0,2,European Championship qualifier,Kazakhstan,-2,+2,1363,2062
2019-10-13,Poland,North Macedonia,2,0,European Championship qualifier,Poland,+8,-8,1770,1535
2019-10-13,Scotland,San Marino,6,0,European Championship qualifier,Scotland,0,0,1621,826
